sentence,type,pronoun,preferred
Michael adopt a kangaroo. The kangaroo had a colorful back.,negation,0,1
Michael didn't adopt a kangaroo. The kangaroo had a colorful back.,negation,0,0
Michael adopt a kangaroo. It had a colorful back.,negation,1,1
Michael didn't adopt a kangaroo. It had a colorful back.,negation,1,0
Linda adopt a kangaroo. The kangaroo enjoyed frolicking in the forest.,negation,0,1
Linda didn't adopt a kangaroo. The kangaroo enjoyed frolicking in the forest.,negation,0,0
Linda adopt a kangaroo. It enjoyed frolicking in the forest.,negation,1,1
Linda didn't adopt a kangaroo. It enjoyed frolicking in the forest.,negation,1,0
John adopt a kangaroo. The kangaroo preferred fish over other food.,negation,0,1
John didn't adopt a kangaroo. The kangaroo preferred fish over other food.,negation,0,0
John adopt a kangaroo. It preferred fish over other food.,negation,1,1
John didn't adopt a kangaroo. It preferred fish over other food.,negation,1,0
David adopt a kangaroo. The kangaroo's name was Fido.,negation,0,1
David didn't adopt a kangaroo. The kangaroo's name was Fido.,negation,0,0
David adopt a kangaroo. Its name was Fido.,negation,1,1
David didn't adopt a kangaroo. Its name was Fido.,negation,1,0
Nancy adopt a kangaroo. The kangaroo liked to swim in lakes.,negation,0,1
Nancy didn't adopt a kangaroo. The kangaroo liked to swim in lakes.,negation,0,0
Nancy adopt a kangaroo. It liked to swim in lakes.,negation,1,1
Nancy didn't adopt a kangaroo. It liked to swim in lakes.,negation,1,0
Chris adopt a kangaroo. The kangaroo loved cheese.,negation,0,1
Chris didn't adopt a kangaroo. The kangaroo loved cheese.,negation,0,0
Chris adopt a kangaroo. It loved cheese.,negation,1,1
Chris didn't adopt a kangaroo. It loved cheese.,negation,1,0
Barbara owned a bird. The bird had a long tail.,negation,0,1
Barbara didn't own a bird. The bird had a long tail.,negation,0,0
Barbara owned a bird. It had a long tail.,negation,1,1
Barbara didn't own a bird. It had a long tail.,negation,1,0
Bill owned a bird. The bird had a red collar.,negation,0,1
Bill didn't own a bird. The bird had a red collar.,negation,0,0
Bill owned a bird. It had a red collar.,negation,1,1
Bill didn't own a bird. It had a red collar.,negation,1,0
Thomas owned a bird. The bird had a blind eye.,negation,0,1
Thomas didn't own a bird. The bird had a blind eye.,negation,0,0
Thomas owned a bird. It had a blind eye.,negation,1,1
Thomas didn't own a bird. It had a blind eye.,negation,1,0
David owned a bird. The bird had a shrill voice.,negation,0,1
David didn't own a bird. The bird had a shrill voice.,negation,0,0
David owned a bird. It had a shrill voice.,negation,1,1
David didn't own a bird. It had a shrill voice.,negation,1,0
Linda owned a bird. The bird had a colorful back.,negation,0,1
Linda didn't own a bird. The bird had a colorful back.,negation,0,0
Linda owned a bird. It had a colorful back.,negation,1,1
Linda didn't own a bird. It had a colorful back.,negation,1,0
Karen owned a bird. The bird enjoyed frolicking in the forest.,negation,0,1
Karen didn't own a bird. The bird enjoyed frolicking in the forest.,negation,0,0
Karen owned a bird. It enjoyed frolicking in the forest.,negation,1,1
Karen didn't own a bird. It enjoyed frolicking in the forest.,negation,1,0
Sarah owned a bird. The bird preferred fish over other food.,negation,0,1
Sarah didn't own a bird. The bird preferred fish over other food.,negation,0,0
Sarah owned a bird. It preferred fish over other food.,negation,1,1
Sarah didn't own a bird. It preferred fish over other food.,negation,1,0
Jessica owned a bird. The bird's name was Fido.,negation,0,1
Jessica didn't own a bird. The bird's name was Fido.,negation,0,0
Jessica owned a bird. Its name was Fido.,negation,1,1
Jessica didn't own a bird. Its name was Fido.,negation,1,0
Jennifer owned a bird. The bird liked to swim in lakes.,negation,0,1
Jennifer didn't own a bird. The bird liked to swim in lakes.,negation,0,0
Jennifer owned a bird. It liked to swim in lakes.,negation,1,1
Jennifer didn't own a bird. It liked to swim in lakes.,negation,1,0
Richard owned a bird. The bird loved cheese.,negation,0,1
Richard didn't own a bird. The bird loved cheese.,negation,0,0
Richard owned a bird. It loved cheese.,negation,1,1
Richard didn't own a bird. It loved cheese.,negation,1,0
David saw a bird. The bird had a long tail.,negation,0,1
David didn't see a bird. The bird had a long tail.,negation,0,0
David saw a bird. It had a long tail.,negation,1,1
David didn't see a bird. It had a long tail.,negation,1,0
John saw a bird. The bird had a red collar.,negation,0,1
John didn't see a bird. The bird had a red collar.,negation,0,0
John saw a bird. It had a red collar.,negation,1,1
John didn't see a bird. It had a red collar.,negation,1,0
Joseph saw a bird. The bird had a blind eye.,negation,0,1
Joseph didn't see a bird. The bird had a blind eye.,negation,0,0
Joseph saw a bird. It had a blind eye.,negation,1,1
Joseph didn't see a bird. It had a blind eye.,negation,1,0
Chris saw a bird. The bird had a shrill voice.,negation,0,1
Chris didn't see a bird. The bird had a shrill voice.,negation,0,0
Chris saw a bird. It had a shrill voice.,negation,1,1
Chris didn't see a bird. It had a shrill voice.,negation,1,0
David saw a bird. The bird had a colorful back.,negation,0,1
David didn't see a bird. The bird had a colorful back.,negation,0,0
David saw a bird. It had a colorful back.,negation,1,1
David didn't see a bird. It had a colorful back.,negation,1,0
Jessica saw a bird. The bird enjoyed frolicking in the forest.,negation,0,1
Jessica didn't see a bird. The bird enjoyed frolicking in the forest.,negation,0,0
Jessica saw a bird. It enjoyed frolicking in the forest.,negation,1,1
Jessica didn't see a bird. It enjoyed frolicking in the forest.,negation,1,0
Elizabeth saw a bird. The bird preferred fish over other food.,negation,0,1
Elizabeth didn't see a bird. The bird preferred fish over other food.,negation,0,0
Elizabeth saw a bird. It preferred fish over other food.,negation,1,1
Elizabeth didn't see a bird. It preferred fish over other food.,negation,1,0
Linda saw a bird. The bird's name was Fido.,negation,0,1
Linda didn't see a bird. The bird's name was Fido.,negation,0,0
Linda saw a bird. Its name was Fido.,negation,1,1
Linda didn't see a bird. Its name was Fido.,negation,1,0
Barbara saw a bird. The bird liked to swim in lakes.,negation,0,1
Barbara didn't see a bird. The bird liked to swim in lakes.,negation,0,0
Barbara saw a bird. It liked to swim in lakes.,negation,1,1
Barbara didn't see a bird. It liked to swim in lakes.,negation,1,0
Mary saw a bird. The bird loved cheese.,negation,0,1
Mary didn't see a bird. The bird loved cheese.,negation,0,0
Mary saw a bird. It loved cheese.,negation,1,1
Mary didn't see a bird. It loved cheese.,negation,1,0
Linda kicked a bird. The bird had a long tail.,negation,0,1
Linda didn't kick a bird. The bird had a long tail.,negation,0,0
Linda kicked a bird. It had a long tail.,negation,1,1
Linda didn't kick a bird. It had a long tail.,negation,1,0
Joseph kicked a bird. The bird had a red collar.,negation,0,1
Joseph didn't kick a bird. The bird had a red collar.,negation,0,0
Joseph kicked a bird. It had a red collar.,negation,1,1
Joseph didn't kick a bird. It had a red collar.,negation,1,0
Michael kicked a bird. The bird had a blind eye.,negation,0,1
Michael didn't kick a bird. The bird had a blind eye.,negation,0,0
Michael kicked a bird. It had a blind eye.,negation,1,1
Michael didn't kick a bird. It had a blind eye.,negation,1,0
Barbara kicked a bird. The bird had a shrill voice.,negation,0,1
Barbara didn't kick a bird. The bird had a shrill voice.,negation,0,0
Barbara kicked a bird. It had a shrill voice.,negation,1,1
Barbara didn't kick a bird. It had a shrill voice.,negation,1,0
Susan kicked a bird. The bird had a colorful back.,negation,0,1
Susan didn't kick a bird. The bird had a colorful back.,negation,0,0
Susan kicked a bird. It had a colorful back.,negation,1,1
Susan didn't kick a bird. It had a colorful back.,negation,1,0
Barbara kicked a bird. The bird enjoyed frolicking in the forest.,negation,0,1
Barbara didn't kick a bird. The bird enjoyed frolicking in the forest.,negation,0,0
Barbara kicked a bird. It enjoyed frolicking in the forest.,negation,1,1
Barbara didn't kick a bird. It enjoyed frolicking in the forest.,negation,1,0
Michael kicked a bird. The bird preferred fish over other food.,negation,0,1
Michael didn't kick a bird. The bird preferred fish over other food.,negation,0,0
Michael kicked a bird. It preferred fish over other food.,negation,1,1
Michael didn't kick a bird. It preferred fish over other food.,negation,1,0
Joseph kicked a bird. The bird's name was Fido.,negation,0,1
Joseph didn't kick a bird. The bird's name was Fido.,negation,0,0
Joseph kicked a bird. Its name was Fido.,negation,1,1
Joseph didn't kick a bird. Its name was Fido.,negation,1,0
Elizabeth kicked a bird. The bird liked to swim in lakes.,negation,0,1
Elizabeth didn't kick a bird. The bird liked to swim in lakes.,negation,0,0
Elizabeth kicked a bird. It liked to swim in lakes.,negation,1,1
Elizabeth didn't kick a bird. It liked to swim in lakes.,negation,1,0
Linda kicked a bird. The bird loved cheese.,negation,0,1
Linda didn't kick a bird. The bird loved cheese.,negation,0,0
Linda kicked a bird. It loved cheese.,negation,1,1
Linda didn't kick a bird. It loved cheese.,negation,1,0
Chris brought a bird. The bird had a long tail.,negation,0,1
Chris didn't bring a bird. The bird had a long tail.,negation,0,0
Chris brought a bird. It had a long tail.,negation,1,1
Chris didn't bring a bird. It had a long tail.,negation,1,0
James brought a bird. The bird had a red collar.,negation,0,1
James didn't bring a bird. The bird had a red collar.,negation,0,0
James brought a bird. It had a red collar.,negation,1,1
James didn't bring a bird. It had a red collar.,negation,1,0
Jennifer brought a bird. The bird had a blind eye.,negation,0,1
Jennifer didn't bring a bird. The bird had a blind eye.,negation,0,0
Jennifer brought a bird. It had a blind eye.,negation,1,1
Jennifer didn't bring a bird. It had a blind eye.,negation,1,0
John brought a bird. The bird had a shrill voice.,negation,0,1
John didn't bring a bird. The bird had a shrill voice.,negation,0,0
John brought a bird. It had a shrill voice.,negation,1,1
John didn't bring a bird. It had a shrill voice.,negation,1,0
Michael brought a bird. The bird had a colorful back.,negation,0,1
Michael didn't bring a bird. The bird had a colorful back.,negation,0,0
Michael brought a bird. It had a colorful back.,negation,1,1
Michael didn't bring a bird. It had a colorful back.,negation,1,0
Susan brought a bird. The bird enjoyed frolicking in the forest.,negation,0,1
Susan didn't bring a bird. The bird enjoyed frolicking in the forest.,negation,0,0
Susan brought a bird. It enjoyed frolicking in the forest.,negation,1,1
Susan didn't bring a bird. It enjoyed frolicking in the forest.,negation,1,0
David brought a bird. The bird preferred fish over other food.,negation,0,1
David didn't bring a bird. The bird preferred fish over other food.,negation,0,0
David brought a bird. It preferred fish over other food.,negation,1,1
David didn't bring a bird. It preferred fish over other food.,negation,1,0
Bill brought a bird. The bird's name was Fido.,negation,0,1
Bill didn't bring a bird. The bird's name was Fido.,negation,0,0
Bill brought a bird. Its name was Fido.,negation,1,1
Bill didn't bring a bird. Its name was Fido.,negation,1,0
Susan brought a bird. The bird liked to swim in lakes.,negation,0,1
Susan didn't bring a bird. The bird liked to swim in lakes.,negation,0,0
Susan brought a bird. It liked to swim in lakes.,negation,1,1
Susan didn't bring a bird. It liked to swim in lakes.,negation,1,0
Linda brought a bird. The bird loved cheese.,negation,0,1
Linda didn't bring a bird. The bird loved cheese.,negation,0,0
Linda brought a bird. It loved cheese.,negation,1,1
Linda didn't bring a bird. It loved cheese.,negation,1,0
Karen got a bird. The bird had a long tail.,negation,0,1
Karen didn't get a bird. The bird had a long tail.,negation,0,0
Karen got a bird. It had a long tail.,negation,1,1
Karen didn't get a bird. It had a long tail.,negation,1,0
Barbara got a bird. The bird had a red collar.,negation,0,1
Barbara didn't get a bird. The bird had a red collar.,negation,0,0
Barbara got a bird. It had a red collar.,negation,1,1
Barbara didn't get a bird. It had a red collar.,negation,1,0
Nancy got a bird. The bird had a blind eye.,negation,0,1
Nancy didn't get a bird. The bird had a blind eye.,negation,0,0
Nancy got a bird. It had a blind eye.,negation,1,1
Nancy didn't get a bird. It had a blind eye.,negation,1,0
Bob got a bird. The bird had a shrill voice.,negation,0,1
Bob didn't get a bird. The bird had a shrill voice.,negation,0,0
Bob got a bird. It had a shrill voice.,negation,1,1
Bob didn't get a bird. It had a shrill voice.,negation,1,0
Thomas got a bird. The bird had a colorful back.,negation,0,1
Thomas didn't get a bird. The bird had a colorful back.,negation,0,0
Thomas got a bird. It had a colorful back.,negation,1,1
Thomas didn't get a bird. It had a colorful back.,negation,1,0
Richard got a bird. The bird enjoyed frolicking in the forest.,negation,0,1
Richard didn't get a bird. The bird enjoyed frolicking in the forest.,negation,0,0
Richard got a bird. It enjoyed frolicking in the forest.,negation,1,1
Richard didn't get a bird. It enjoyed frolicking in the forest.,negation,1,0
David got a bird. The bird preferred fish over other food.,negation,0,1
David didn't get a bird. The bird preferred fish over other food.,negation,0,0
David got a bird. It preferred fish over other food.,negation,1,1
David didn't get a bird. It preferred fish over other food.,negation,1,0
Mary got a bird. The bird's name was Fido.,negation,0,1
Mary didn't get a bird. The bird's name was Fido.,negation,0,0
Mary got a bird. Its name was Fido.,negation,1,1
Mary didn't get a bird. Its name was Fido.,negation,1,0
Michael got a bird. The bird liked to swim in lakes.,negation,0,1
Michael didn't get a bird. The bird liked to swim in lakes.,negation,0,0
Michael got a bird. It liked to swim in lakes.,negation,1,1
Michael didn't get a bird. It liked to swim in lakes.,negation,1,0
Bill got a bird. The bird loved cheese.,negation,0,1
Bill didn't get a bird. The bird loved cheese.,negation,0,0
Bill got a bird. It loved cheese.,negation,1,1
Bill didn't get a bird. It loved cheese.,negation,1,0
John bought a bird. The bird had a long tail.,negation,0,1
John didn't buy a bird. The bird had a long tail.,negation,0,0
John bought a bird. It had a long tail.,negation,1,1
John didn't buy a bird. It had a long tail.,negation,1,0
Nancy bought a bird. The bird had a red collar.,negation,0,1
Nancy didn't buy a bird. The bird had a red collar.,negation,0,0
Nancy bought a bird. It had a red collar.,negation,1,1
Nancy didn't buy a bird. It had a red collar.,negation,1,0
Bob bought a bird. The bird had a blind eye.,negation,0,1
Bob didn't buy a bird. The bird had a blind eye.,negation,0,0
Bob bought a bird. It had a blind eye.,negation,1,1
Bob didn't buy a bird. It had a blind eye.,negation,1,0
Joseph bought a bird. The bird had a shrill voice.,negation,0,1
Joseph didn't buy a bird. The bird had a shrill voice.,negation,0,0
Joseph bought a bird. It had a shrill voice.,negation,1,1
Joseph didn't buy a bird. It had a shrill voice.,negation,1,0
Bob bought a bird. The bird had a colorful back.,negation,0,1
Bob didn't buy a bird. The bird had a colorful back.,negation,0,0
Bob bought a bird. It had a colorful back.,negation,1,1
Bob didn't buy a bird. It had a colorful back.,negation,1,0
Bill bought a bird. The bird enjoyed frolicking in the forest.,negation,0,1
Bill didn't buy a bird. The bird enjoyed frolicking in the forest.,negation,0,0
Bill bought a bird. It enjoyed frolicking in the forest.,negation,1,1
Bill didn't buy a bird. It enjoyed frolicking in the forest.,negation,1,0
Jessica bought a bird. The bird preferred fish over other food.,negation,0,1
Jessica didn't buy a bird. The bird preferred fish over other food.,negation,0,0
Jessica bought a bird. It preferred fish over other food.,negation,1,1
Jessica didn't buy a bird. It preferred fish over other food.,negation,1,0
Barbara bought a bird. The bird's name was Fido.,negation,0,1
Barbara didn't buy a bird. The bird's name was Fido.,negation,0,0
Barbara bought a bird. Its name was Fido.,negation,1,1
Barbara didn't buy a bird. Its name was Fido.,negation,1,0
Jennifer bought a bird. The bird liked to swim in lakes.,negation,0,1
Jennifer didn't buy a bird. The bird liked to swim in lakes.,negation,0,0
Jennifer bought a bird. It liked to swim in lakes.,negation,1,1
Jennifer didn't buy a bird. It liked to swim in lakes.,negation,1,0
Karen bought a bird. The bird loved cheese.,negation,0,1
Karen didn't buy a bird. The bird loved cheese.,negation,0,0
Karen bought a bird. It loved cheese.,negation,1,1
Karen didn't buy a bird. It loved cheese.,negation,1,0
Richard mentioned a bird. The bird had a long tail.,negation,0,1
Richard didn't mention a bird. The bird had a long tail.,negation,0,0
Richard mentioned a bird. It had a long tail.,negation,1,1
Richard didn't mention a bird. It had a long tail.,negation,1,0
Richard mentioned a bird. The bird had a red collar.,negation,0,1
Richard didn't mention a bird. The bird had a red collar.,negation,0,0
Richard mentioned a bird. It had a red collar.,negation,1,1
Richard didn't mention a bird. It had a red collar.,negation,1,0
Richard mentioned a bird. The bird had a blind eye.,negation,0,1
Richard didn't mention a bird. The bird had a blind eye.,negation,0,0
Richard mentioned a bird. It had a blind eye.,negation,1,1
Richard didn't mention a bird. It had a blind eye.,negation,1,0
John mentioned a bird. The bird had a shrill voice.,negation,0,1
John didn't mention a bird. The bird had a shrill voice.,negation,0,0
John mentioned a bird. It had a shrill voice.,negation,1,1
John didn't mention a bird. It had a shrill voice.,negation,1,0
Elizabeth mentioned a bird. The bird had a colorful back.,negation,0,1
Elizabeth didn't mention a bird. The bird had a colorful back.,negation,0,0
Elizabeth mentioned a bird. It had a colorful back.,negation,1,1
Elizabeth didn't mention a bird. It had a colorful back.,negation,1,0
Mary mentioned a bird. The bird enjoyed frolicking in the forest.,negation,0,1
Mary didn't mention a bird. The bird enjoyed frolicking in the forest.,negation,0,0
Mary mentioned a bird. It enjoyed frolicking in the forest.,negation,1,1
Mary didn't mention a bird. It enjoyed frolicking in the forest.,negation,1,0
Bob mentioned a bird. The bird preferred fish over other food.,negation,0,1
Bob didn't mention a bird. The bird preferred fish over other food.,negation,0,0
Bob mentioned a bird. It preferred fish over other food.,negation,1,1
Bob didn't mention a bird. It preferred fish over other food.,negation,1,0
Elizabeth mentioned a bird. The bird's name was Fido.,negation,0,1
Elizabeth didn't mention a bird. The bird's name was Fido.,negation,0,0
Elizabeth mentioned a bird. Its name was Fido.,negation,1,1
Elizabeth didn't mention a bird. Its name was Fido.,negation,1,0
John mentioned a bird. The bird liked to swim in lakes.,negation,0,1
John didn't mention a bird. The bird liked to swim in lakes.,negation,0,0
John mentioned a bird. It liked to swim in lakes.,negation,1,1
John didn't mention a bird. It liked to swim in lakes.,negation,1,0
Linda mentioned a bird. The bird loved cheese.,negation,0,1
Linda didn't mention a bird. The bird loved cheese.,negation,0,0
Linda mentioned a bird. It loved cheese.,negation,1,1
Linda didn't mention a bird. It loved cheese.,negation,1,0
Jessica visited a bird. The bird had a long tail.,negation,0,1
Jessica didn't visit a bird. The bird had a long tail.,negation,0,0
Jessica visited a bird. It had a long tail.,negation,1,1
Jessica didn't visit a bird. It had a long tail.,negation,1,0
Richard visited a bird. The bird had a red collar.,negation,0,1
Richard didn't visit a bird. The bird had a red collar.,negation,0,0
Richard visited a bird. It had a red collar.,negation,1,1
Richard didn't visit a bird. It had a red collar.,negation,1,0
Nancy visited a bird. The bird had a blind eye.,negation,0,1
Nancy didn't visit a bird. The bird had a blind eye.,negation,0,0
Nancy visited a bird. It had a blind eye.,negation,1,1
Nancy didn't visit a bird. It had a blind eye.,negation,1,0
Jessica visited a bird. The bird had a shrill voice.,negation,0,1
Jessica didn't visit a bird. The bird had a shrill voice.,negation,0,0
Jessica visited a bird. It had a shrill voice.,negation,1,1
Jessica didn't visit a bird. It had a shrill voice.,negation,1,0
John visited a bird. The bird had a colorful back.,negation,0,1
John didn't visit a bird. The bird had a colorful back.,negation,0,0
John visited a bird. It had a colorful back.,negation,1,1
John didn't visit a bird. It had a colorful back.,negation,1,0
Chris visited a bird. The bird enjoyed frolicking in the forest.,negation,0,1
Chris didn't visit a bird. The bird enjoyed frolicking in the forest.,negation,0,0
Chris visited a bird. It enjoyed frolicking in the forest.,negation,1,1
Chris didn't visit a bird. It enjoyed frolicking in the forest.,negation,1,0
Susan visited a bird. The bird preferred fish over other food.,negation,0,1
Susan didn't visit a bird. The bird preferred fish over other food.,negation,0,0
Susan visited a bird. It preferred fish over other food.,negation,1,1
Susan didn't visit a bird. It preferred fish over other food.,negation,1,0
Bill visited a bird. The bird's name was Fido.,negation,0,1
Bill didn't visit a bird. The bird's name was Fido.,negation,0,0
Bill visited a bird. Its name was Fido.,negation,1,1
Bill didn't visit a bird. Its name was Fido.,negation,1,0
Susan visited a bird. The bird liked to swim in lakes.,negation,0,1
Susan didn't visit a bird. The bird liked to swim in lakes.,negation,0,0
Susan visited a bird. It liked to swim in lakes.,negation,1,1
Susan didn't visit a bird. It liked to swim in lakes.,negation,1,0
Thomas visited a bird. The bird loved cheese.,negation,0,1
Thomas didn't visit a bird. The bird loved cheese.,negation,0,0
Thomas visited a bird. It loved cheese.,negation,1,1
Thomas didn't visit a bird. It loved cheese.,negation,1,0
Sarah met a bird. The bird had a long tail.,negation,0,1
Sarah didn't meet a bird. The bird had a long tail.,negation,0,0
Sarah met a bird. It had a long tail.,negation,1,1
Sarah didn't meet a bird. It had a long tail.,negation,1,0
Richard met a bird. The bird had a red collar.,negation,0,1
Richard didn't meet a bird. The bird had a red collar.,negation,0,0
Richard met a bird. It had a red collar.,negation,1,1
Richard didn't meet a bird. It had a red collar.,negation,1,0
Jennifer met a bird. The bird had a blind eye.,negation,0,1
Jennifer didn't meet a bird. The bird had a blind eye.,negation,0,0
Jennifer met a bird. It had a blind eye.,negation,1,1
Jennifer didn't meet a bird. It had a blind eye.,negation,1,0
Nancy met a bird. The bird had a shrill voice.,negation,0,1
Nancy didn't meet a bird. The bird had a shrill voice.,negation,0,0
Nancy met a bird. It had a shrill voice.,negation,1,1
Nancy didn't meet a bird. It had a shrill voice.,negation,1,0
Barbara met a bird. The bird had a colorful back.,negation,0,1
Barbara didn't meet a bird. The bird had a colorful back.,negation,0,0
Barbara met a bird. It had a colorful back.,negation,1,1
Barbara didn't meet a bird. It had a colorful back.,negation,1,0
Michael met a bird. The bird enjoyed frolicking in the forest.,negation,0,1
Michael didn't meet a bird. The bird enjoyed frolicking in the forest.,negation,0,0
Michael met a bird. It enjoyed frolicking in the forest.,negation,1,1
Michael didn't meet a bird. It enjoyed frolicking in the forest.,negation,1,0
Chris met a bird. The bird preferred fish over other food.,negation,0,1
Chris didn't meet a bird. The bird preferred fish over other food.,negation,0,0
Chris met a bird. It preferred fish over other food.,negation,1,1
Chris didn't meet a bird. It preferred fish over other food.,negation,1,0
Barbara met a bird. The bird's name was Fido.,negation,0,1
Barbara didn't meet a bird. The bird's name was Fido.,negation,0,0
Barbara met a bird. Its name was Fido.,negation,1,1
Barbara didn't meet a bird. Its name was Fido.,negation,1,0
Linda met a bird. The bird liked to swim in lakes.,negation,0,1
Linda didn't meet a bird. The bird liked to swim in lakes.,negation,0,0
Linda met a bird. It liked to swim in lakes.,negation,1,1
Linda didn't meet a bird. It liked to swim in lakes.,negation,1,0
John met a bird. The bird loved cheese.,negation,0,1
John didn't meet a bird. The bird loved cheese.,negation,0,0
John met a bird. It loved cheese.,negation,1,1
John didn't meet a bird. It loved cheese.,negation,1,0
Joseph adopt a bird. The bird had a long tail.,negation,0,1
Joseph didn't adopt a bird. The bird had a long tail.,negation,0,0
Joseph adopt a bird. It had a long tail.,negation,1,1
Joseph didn't adopt a bird. It had a long tail.,negation,1,0
Elizabeth adopt a bird. The bird had a red collar.,negation,0,1
Elizabeth didn't adopt a bird. The bird had a red collar.,negation,0,0
Elizabeth adopt a bird. It had a red collar.,negation,1,1
Elizabeth didn't adopt a bird. It had a red collar.,negation,1,0
Chris adopt a bird. The bird had a blind eye.,negation,0,1
Chris didn't adopt a bird. The bird had a blind eye.,negation,0,0
Chris adopt a bird. It had a blind eye.,negation,1,1
Chris didn't adopt a bird. It had a blind eye.,negation,1,0
Chris adopt a bird. The bird had a shrill voice.,negation,0,1
Chris didn't adopt a bird. The bird had a shrill voice.,negation,0,0
Chris adopt a bird. It had a shrill voice.,negation,1,1
Chris didn't adopt a bird. It had a shrill voice.,negation,1,0
Jessica adopt a bird. The bird had a colorful back.,negation,0,1
Jessica didn't adopt a bird. The bird had a colorful back.,negation,0,0
Jessica adopt a bird. It had a colorful back.,negation,1,1
Jessica didn't adopt a bird. It had a colorful back.,negation,1,0
Bob adopt a bird. The bird enjoyed frolicking in the forest.,negation,0,1
Bob didn't adopt a bird. The bird enjoyed frolicking in the forest.,negation,0,0
Bob adopt a bird. It enjoyed frolicking in the forest.,negation,1,1
Bob didn't adopt a bird. It enjoyed frolicking in the forest.,negation,1,0
David adopt a bird. The bird preferred fish over other food.,negation,0,1
David didn't adopt a bird. The bird preferred fish over other food.,negation,0,0
David adopt a bird. It preferred fish over other food.,negation,1,1
David didn't adopt a bird. It preferred fish over other food.,negation,1,0
Mary adopt a bird. The bird's name was Fido.,negation,0,1
Mary didn't adopt a bird. The bird's name was Fido.,negation,0,0
Mary adopt a bird. Its name was Fido.,negation,1,1
Mary didn't adopt a bird. Its name was Fido.,negation,1,0
James adopt a bird. The bird liked to swim in lakes.,negation,0,1
James didn't adopt a bird. The bird liked to swim in lakes.,negation,0,0
James adopt a bird. It liked to swim in lakes.,negation,1,1
James didn't adopt a bird. It liked to swim in lakes.,negation,1,0
Nancy adopt a bird. The bird loved cheese.,negation,0,1
Nancy didn't adopt a bird. The bird loved cheese.,negation,0,0
Nancy adopt a bird. It loved cheese.,negation,1,1
Nancy didn't adopt a bird. It loved cheese.,negation,1,0
Jennifer owned a rat. The rat had a long tail.,negation,0,1
Jennifer didn't own a rat. The rat had a long tail.,negation,0,0
Jennifer owned a rat. It had a long tail.,negation,1,1
Jennifer didn't own a rat. It had a long tail.,negation,1,0
John owned a rat. The rat had a red collar.,negation,0,1
John didn't own a rat. The rat had a red collar.,negation,0,0
John owned a rat. It had a red collar.,negation,1,1
John didn't own a rat. It had a red collar.,negation,1,0
Joseph owned a rat. The rat had a blind eye.,negation,0,1
Joseph didn't own a rat. The rat had a blind eye.,negation,0,0
Joseph owned a rat. It had a blind eye.,negation,1,1
Joseph didn't own a rat. It had a blind eye.,negation,1,0
Linda owned a rat. The rat had a shrill voice.,negation,0,1
Linda didn't own a rat. The rat had a shrill voice.,negation,0,0
Linda owned a rat. It had a shrill voice.,negation,1,1
Linda didn't own a rat. It had a shrill voice.,negation,1,0
Richard owned a rat. The rat had a colorful back.,negation,0,1
Richard didn't own a rat. The rat had a colorful back.,negation,0,0
Richard owned a rat. It had a colorful back.,negation,1,1
Richard didn't own a rat. It had a colorful back.,negation,1,0
Bill owned a rat. The rat enjoyed frolicking in the forest.,negation,0,1
Bill didn't own a rat. The rat enjoyed frolicking in the forest.,negation,0,0
Bill owned a rat. It enjoyed frolicking in the forest.,negation,1,1
Bill didn't own a rat. It enjoyed frolicking in the forest.,negation,1,0
Mary owned a rat. The rat preferred fish over other food.,negation,0,1
Mary didn't own a rat. The rat preferred fish over other food.,negation,0,0
Mary owned a rat. It preferred fish over other food.,negation,1,1
Mary didn't own a rat. It preferred fish over other food.,negation,1,0
John owned a rat. The rat's name was Fido.,negation,0,1
John didn't own a rat. The rat's name was Fido.,negation,0,0
John owned a rat. Its name was Fido.,negation,1,1
John didn't own a rat. Its name was Fido.,negation,1,0
Linda owned a rat. The rat liked to swim in lakes.,negation,0,1
Linda didn't own a rat. The rat liked to swim in lakes.,negation,0,0
Linda owned a rat. It liked to swim in lakes.,negation,1,1
Linda didn't own a rat. It liked to swim in lakes.,negation,1,0
Sarah owned a rat. The rat loved cheese.,negation,0,1
Sarah didn't own a rat. The rat loved cheese.,negation,0,0
Sarah owned a rat. It loved cheese.,negation,1,1
Sarah didn't own a rat. It loved cheese.,negation,1,0
Susan saw a rat. The rat had a long tail.,negation,0,1
Susan didn't see a rat. The rat had a long tail.,negation,0,0
Susan saw a rat. It had a long tail.,negation,1,1
Susan didn't see a rat. It had a long tail.,negation,1,0
Thomas saw a rat. The rat had a red collar.,negation,0,1
Thomas didn't see a rat. The rat had a red collar.,negation,0,0
Thomas saw a rat. It had a red collar.,negation,1,1
Thomas didn't see a rat. It had a red collar.,negation,1,0
Michael saw a rat. The rat had a blind eye.,negation,0,1
Michael didn't see a rat. The rat had a blind eye.,negation,0,0
Michael saw a rat. It had a blind eye.,negation,1,1
Michael didn't see a rat. It had a blind eye.,negation,1,0
Bob saw a rat. The rat had a shrill voice.,negation,0,1
Bob didn't see a rat. The rat had a shrill voice.,negation,0,0
Bob saw a rat. It had a shrill voice.,negation,1,1
Bob didn't see a rat. It had a shrill voice.,negation,1,0
James saw a rat. The rat had a colorful back.,negation,0,1
James didn't see a rat. The rat had a colorful back.,negation,0,0
James saw a rat. It had a colorful back.,negation,1,1
James didn't see a rat. It had a colorful back.,negation,1,0
