id,sentence,type,pronoun,tokens,continuation,referential_it,non-referential/event it,noteworthy,
12_ticket_doubt,I doubt that Thomas booked a ticket in advance. It,doubt,it,I|##doubt|##that|##Thomas|##booked|##a|##ticket|##in|##advance|.|##It|'s|##not|##like|##he|##was|##going|##to|##be|##able|##to|##get|##a|##ticket|##in|##advance|.|##He|##was|##going,I doubt that Thomas booked a ticket in advance. It's not like he was going to be able to get a ticket in advance. He was going,0,1,0,
12_ticket_modal,Thomas wants to book a ticket in advance and it,modal,it,"Thomas|##wants|##to|##book|##a|##ticket|##in|##advance|##and|##it|'s|##not|##a|##big|##deal|.|Ċ|Ċ|""|I|'m|##not|##going|##to|##be|##a|##big|##fan|##of|##the","Thomas wants to book a ticket in advance and it's not a big deal.

""I'm not going to be a big fan of the",0,1,0,
12_ticket_managed,Thomas managed to book a ticket. It,managed,it,"Thomas|##managed|##to|##book|##a|##ticket|.|##It|##was|##a|##good|##one|.|Ċ|Ċ|""|I|##was|##just|##trying|##to|##get|##a|##seat|,""|##he|##said|.|##""|I","Thomas managed to book a ticket. It was a good one.

""I was just trying to get a seat,"" he said. ""I",1,0,0,
12_ticket_failed,Thomas failed to book a ticket. It,failed,it,"Thomas|##failed|##to|##book|##a|##ticket|.|##It|##was|##a|##good|##thing|##he|##didn|'t|.|Ċ|Ċ|""|I|'m|##not|##going|##to|##be|##a|##part|##of|##that|,""","Thomas failed to book a ticket. It was a good thing he didn't.

""I'm not going to be a part of that,""",0,1,0,
13_bed_affirmative,Luke bought a bed and it,affirmative,it,Luke|##bought|##a|##bed|##and|##it|##was|##a|##nice|##bed|.|##I|##was|##so|##happy|.|##I|##was|##so|##happy|.|##I|##was|##so|##happy|.|##I|##was|##so|##happy,Luke bought a bed and it was a nice bed. I was so happy. I was so happy. I was so happy. I was so happy,1,0,0,
13_bed_negated,Luke didn't buy a bed and it,negated,it,"Luke|##didn|'t|##buy|##a|##bed|##and|##it|##was|##a|##big|##deal|.|Ċ|Ċ|""|I|##was|##like|,|##'|I|'m|##going|##to|##go|##to|##bed|##and|##I","Luke didn't buy a bed and it was a big deal.

""I was like, 'I'm going to go to bed and I",0,1,0,
13_bed_know,I know that Luke bought a bed. It,know,it,I|##know|##that|##Luke|##bought|##a|##bed|.|##It|##was|##a|##nice|##one|.|##I|'m|##sure|##he|##would|##have|##liked|##it|.|##I|'m|##sure|##he|##would|##have|##liked,I know that Luke bought a bed. It was a nice one. I'm sure he would have liked it. I'm sure he would have liked,1,0,0,
13_bed_doubt,I doubt that Luke bought a bed. It,doubt,it,"I|##doubt|##that|##Luke|##bought|##a|##bed|.|##It|##was|##a|##very|##expensive|##one|.|Ċ|Ċ|""|I|'m|##not|##sure|##if|##he|##bought|##a|##bed|##or|##not|,""","I doubt that Luke bought a bed. It was a very expensive one.

""I'm not sure if he bought a bed or not,""",1,0,0,
13_bed_modal,Luke wants to buy a bed and it,modal,it,Luke|##wants|##to|##buy|##a|##bed|##and|##it|'s|##not|##going|##to|##be|##easy|.|##He|'s|##got|##to|##get|##a|##job|.|##He|'s|##got|##to|##get|##a|##job,Luke wants to buy a bed and it's not going to be easy. He's got to get a job. He's got to get a job,0,1,0,
13_bed_managed,Luke managed to buy a bed. It,managed,it,"Luke|##managed|##to|##buy|##a|##bed|.|##It|##was|##a|##nice|##one|,|##but|##I|##didn|'t|##want|##to|##spend|##the|##money|##on|##it|.|##I|##was|##going|##to|##have","Luke managed to buy a bed. It was a nice one, but I didn't want to spend the money on it. I was going to have",1,0,0,
13_bed_failed,Luke failed to buy a bed. It,failed,it,"Luke|##failed|##to|##buy|##a|##bed|.|##It|##was|##a|##very|##expensive|##bed|.|Ċ|Ċ|""|I|'m|##not|##going|##to|##buy|##a|##bed|.|##I|'m|##not|##going","Luke failed to buy a bed. It was a very expensive bed.

""I'm not going to buy a bed. I'm not going",1,0,0,
14_gin_affirmative,Dan drank a gin tonic and it,affirmative,it,"Dan|##drank|##a|##gin|##ton|ic|##and|##it|##was|##a|##good|##night|'s|##sleep|.|Ċ|Ċ|""|I|'m|##not|##going|##to|##lie|,|##I|##was|##really|##excited|##to","Dan drank a gin tonic and it was a good night's sleep.

""I'm not going to lie, I was really excited to",0,1,0,
14_gin_negated,Dan didn't drink a gin tonic and it,negated,it,"Dan|##didn|'t|##drink|##a|##gin|##ton|ic|##and|##it|##was|##a|##bit|##of|##a|##shock|##to|##see|##him|##drink|##it|.|Ċ|Ċ|""|I|##was|##just|##trying|##to","Dan didn't drink a gin tonic and it was a bit of a shock to see him drink it.

""I was just trying to",0,1,1,
14_gin_know,I know that Dan drank a gin tonic. It,know,it,I|##know|##that|##Dan|##drank|##a|##gin|##ton|ic|.|##It|##was|##a|##good|##thing|.|##I|'m|##not|##sure|##if|##he|##was|##drinking|##it|##or|##not|.|##I|##don,I know that Dan drank a gin tonic. It was a good thing. I'm not sure if he was drinking it or not. I don,0,1,0,
14_gin_doubt,I doubt that Dan drank a gin tonic. It,doubt,it,I|##doubt|##that|##Dan|##drank|##a|##gin|##ton|ic|.|##It|##was|##a|##very|##strong|##drink|.|##I|##think|##he|##was|##very|##drunk|.|##I|##think|##he|##was|##very|##drunk,I doubt that Dan drank a gin tonic. It was a very strong drink. I think he was very drunk. I think he was very drunk,1,0,0,
14_gin_modal,Dan wants to drink a gin tonic and it,modal,it,"Dan|##wants|##to|##drink|##a|##gin|##ton|ic|##and|##it|'s|##a|##good|##thing|##he|'s|##got|##a|##gin|##ton|ic|.|Ċ|Ċ|""|I|'m|##not|##going|##to","Dan wants to drink a gin tonic and it's a good thing he's got a gin tonic.

""I'm not going to",0,1,0,
14_gin_managed,Dan managed to mix a gin tonic. It,managed,it,"Dan|##managed|##to|##mix|##a|##gin|##ton|ic|.|##It|##was|##a|##nice|##touch|.|Ċ|Ċ|""|I|'m|##not|##sure|##if|##I|'m|##going|##to|##be|##able|##to","Dan managed to mix a gin tonic. It was a nice touch.

""I'm not sure if I'm going to be able to",1,0,0,
14_gin_failed,Dan failed to mix a gin tonic. It,failed,it,"Dan|##failed|##to|##mix|##a|##gin|##ton|ic|.|##It|##was|##a|##bit|##of|##a|##mess|.|Ċ|Ċ|""|I|'m|##not|##sure|##if|##I|'m|##going|##to|##be","Dan failed to mix a gin tonic. It was a bit of a mess.

""I'm not sure if I'm going to be",1,0,0,
15_bone_affirmative,David discovered a bone on his archeological expedition and it,affirmative,it,David|##discovered|##a|##bone|##on|##his|##arche|ological|##expedition|##and|##it|##was|##a|##bone|##that|##had|##been|##cut|##off|##by|##a|##man|##who|##had|##been|##killed|##by|##a|##bear|.,David discovered a bone on his archeological expedition and it was a bone that had been cut off by a man who had been killed by a bear.,1,0,0,
15_bone_negated,David didn't discover a bone on this archeological expedition and it,negated,it,"David|##didn|'t|##discover|##a|##bone|##on|##this|##arche|ological|##expedition|##and|##it|##was|##a|##very|##small|##piece|##of|##rock|.|Ċ|Ċ|""|I|##was|##very|##surprised|##to|##find","David didn't discover a bone on this archeological expedition and it was a very small piece of rock.

""I was very surprised to find",1,0,0,
15_bone_know,I know that David discovered a bone on his archeological expedition. It,know,it,I|##know|##that|##David|##discovered|##a|##bone|##on|##his|##arche|ological|##expedition|.|##It|##was|##a|##bone|##that|##he|##had|##found|##in|##the|##cave|##of|##the|##same|##name|.|##He,I know that David discovered a bone on his archeological expedition. It was a bone that he had found in the cave of the same name. He,1,0,0,
15_bone_doubt,I doubt that David discovered a bone on his archeological expedition. It,doubt,it,I|##doubt|##that|##David|##discovered|##a|##bone|##on|##his|##arche|ological|##expedition|.|##It|##was|##a|##bone|##that|##he|##had|##found|##in|##the|##cave|##of|##the|##same|##name|.|Ċ,"I doubt that David discovered a bone on his archeological expedition. It was a bone that he had found in the cave of the same name.
",1,0,0,
15_bone_modal,David wants to discover a bone on his archeological expedition and it,modal,it,"David|##wants|##to|##discover|##a|##bone|##on|##his|##arche|ological|##expedition|##and|##it|'s|##a|##good|##idea|##to|##get|##him|##to|##the|##site|.|Ċ|Ċ|""|I|'m|##not","David wants to discover a bone on his archeological expedition and it's a good idea to get him to the site.

""I'm not",0,1,0,
15_bone_managed,David managed to discover a bone on his archeological expedition. It,managed,it,David|##managed|##to|##discover|##a|##bone|##on|##his|##arche|ological|##expedition|.|##It|##was|##a|##bone|##that|##had|##been|##cut|##off|##by|##a|##man|##who|##had|##been|##killed|##by|##a,David managed to discover a bone on his archeological expedition. It was a bone that had been cut off by a man who had been killed by a,1,0,0,
15_bone_failed,David failed to discover a bone on his archeological expedition. It,failed,it,David|##failed|##to|##discover|##a|##bone|##on|##his|##arche|ological|##expedition|.|##It|##was|##discovered|##in|##the|##late|##1800|s|.|Ċ|Ċ|The|##bones|##were|##found|##in|##the|##area,"David failed to discover a bone on his archeological expedition. It was discovered in the late 1800s.

The bones were found in the area",1,0,0,
16_house_affirmative,Lisa built a house and it,affirmative,it,Lisa|##built|##a|##house|##and|##it|##was|##a|##beautiful|##house|.|##I|##was|##so|##happy|.|##I|##was|##so|##happy|.|##I|##was|##so|##happy|.|##I|##was|##so|##happy,Lisa built a house and it was a beautiful house. I was so happy. I was so happy. I was so happy. I was so happy,1,0,0,
16_house_negated,Lisa didn't build a house and it,negated,it,Lisa|##didn|'t|##build|##a|##house|##and|##it|##was|##a|##lot|##of|##work|.|##She|##was|##a|##little|##bit|##of|##a|##mess|.|##She|##was|##a|##little|##bit|##of|##a,Lisa didn't build a house and it was a lot of work. She was a little bit of a mess. She was a little bit of a,0,1,0,
16_house_know,I know that Lisa built a house. It,know,it,I|##know|##that|##Lisa|##built|##a|##house|.|##It|'s|##not|##a|##house|##that|##I|'m|##going|##to|##build|.|##It|'s|##a|##house|##that|##I|'m|##going|##to|##build,I know that Lisa built a house. It's not a house that I'm going to build. It's a house that I'm going to build,1,0,0,
16_house_doubt,I doubt that Lisa built a house. It,doubt,it,I|##doubt|##that|##Lisa|##built|##a|##house|.|##It|'s|##not|##like|##she|##was|##going|##to|##build|##a|##house|.|##She|##was|##going|##to|##build|##a|##house|.|Ċ|Ċ,"I doubt that Lisa built a house. It's not like she was going to build a house. She was going to build a house.

",0,1,0,
16_house_modal,Lisa wants to build a house and it,modal,it,Lisa|##wants|##to|##build|##a|##house|##and|##it|'s|##not|##going|##to|##be|##easy|.|##She|'s|##got|##to|##get|##her|##own|##place|.|##She|'s|##got|##to|##get|##her,Lisa wants to build a house and it's not going to be easy. She's got to get her own place. She's got to get her,0,1,0,
16_house_managed,Lisa managed to build a house. It,managed,it,"Lisa|##managed|##to|##build|##a|##house|.|##It|##was|##a|##small|##house|,|##but|##it|##was|##a|##nice|##one|.|##It|##was|##a|##nice|##house|.|##It|##was|##a|##nice","Lisa managed to build a house. It was a small house, but it was a nice one. It was a nice house. It was a nice",1,0,0,
16_house_failed,Lisa failed to build a house. It,failed,it,"Lisa|##failed|##to|##build|##a|##house|.|##It|##was|##a|##small|##house|,|##but|##it|##was|##a|##house|##that|##was|##built|##for|##her|.|##She|##had|##a|##lot|##of|##money","Lisa failed to build a house. It was a small house, but it was a house that was built for her. She had a lot of money",1,0,0,
